,size,density,time
322,40,0.7,0.0001270771026611328
323,40,0.7,0.00012183189392089844
324,40,0.7,0.00011897087097167969
325,40,0.7,0.00012087821960449219
326,40,0.7,0.0001232624053955078
327,40,0.7,0.00011682510375976562
328,40,0.7,0.0001227855682373047
329,40,0.7,0.00013184547424316406
330,40,0.9,0.0001399517059326172
331,40,0.9,0.000148773193359375
332,40,0.9,0.00014019012451171875
333,40,0.9,0.00017690658569335938
334,40,0.9,0.00013899803161621094
335,40,0.9,0.00014209747314453125
336,40,0.9,0.0001506805419921875
337,40,0.9,0.0001499652862548828
338,40,0.9,0.00015807151794433594
339,40,0.9,0.00015211105346679688
340,40,0.9,0.00014901161193847656
341,40,0.9,0.00014066696166992188
342,40,0.9,0.0001418590545654297
343,40,0.9,0.0001399517059326172
344,40,0.9,0.00013685226440429688
345,40,0.9,0.00022983551025390625
346,40,0.9,0.0001430511474609375
347,40,0.9,0.00014519691467285156
348,40,0.9,0.00015115737915039062
349,40,0.9,0.0001468658447265625
350,50,0.1,0.00010395050048828125
351,50,0.1,0.00010228157043457031
352,50,0.1,0.00010395050048828125
353,50,0.1,0.00010704994201660156
354,50,0.1,0.000102996826171875
355,50,0.1,0.0001049041748046875
356,50,0.1,0.00010967254638671875
357,50,0.1,0.00010704994201660156
358,50,0.1,0.00010538101196289062
359,50,0.1,0.00010704994201660156
360,50,0.1,0.00010180473327636719
361,50,0.1,0.00010800361633300781
362,50,0.1,9.894371032714844e-05
363,50,0.1,0.000102996826171875
364,50,0.1,0.00011110305786132812
365,50,0.1,0.00010275840759277344
366,50,0.1,0.00010514259338378906
367,50,0.1,0.0001087188720703125
368,50,0.1,0.00010180473327636719
369,50,0.1,0.00010395050048828125
370,50,0.3,0.00013184547424316406
371,50,0.3,0.00012993812561035156
372,50,0.3,0.00014019012451171875
373,50,0.3,0.00014901161193847656
374,50,0.3,0.0001327991485595703
375,50,0.3,0.00013899803161621094
376,50,0.3,0.00013899803161621094
377,50,0.3,0.0001499652862548828
378,50,0.3,0.00014972686767578125
379,50,0.3,0.00015115737915039062
380,50,0.3,0.00014829635620117188
381,50,0.3,0.00014090538024902344
382,50,0.3,0.00014400482177734375
383,50,0.3,0.00014591217041015625
384,50,0.3,0.00014209747314453125
385,50,0.3,0.00014066696166992188
386,50,0.3,0.00014591217041015625
387,50,0.3,0.00013399124145507812
388,50,0.3,0.0001342296600341797
389,50,0.3,0.00013375282287597656
390,50,0.5,0.0001678466796875
391,50,0.5,0.0001609325408935547
392,50,0.5,0.0001628398895263672
393,50,0.5,0.00016498565673828125
394,50,0.5,0.00015926361083984375
395,50,0.5,0.0001590251922607422
396,50,0.5,0.00015687942504882812
397,50,0.5,0.00017690658569335938
398,50,0.5,0.0001671314239501953
399,50,0.5,0.0001609325408935547
400,50,0.5,0.00016117095947265625
401,50,0.5,0.00015807151794433594
402,50,0.5,0.00015687942504882812
403,50,0.5,0.0001518726348876953
404,50,0.5,0.00015807151794433594
405,50,0.5,0.00015425682067871094
406,50,0.5,0.0001621246337890625
407,50,0.5,0.00016188621520996094
408,50,0.5,0.00015807151794433594
409,50,0.5,0.00015807151794433594
410,50,0.7,0.0001900196075439453
411,50,0.7,0.0001919269561767578
412,50,0.7,0.0001888275146484375
413,50,0.7,0.000186920166015625
414,50,0.7,0.00018405914306640625
415,50,0.7,0.00018477439880371094
416,50,0.7,0.00018930435180664062
417,50,0.7,0.00019359588623046875
418,50,0.7,0.00019478797912597656
419,50,0.7,0.00019097328186035156
420,50,0.7,0.00018906593322753906
421,50,0.7,0.0001900196075439453
422,50,0.7,0.00018596649169921875
423,50,0.7,0.00019097328186035156
424,50,0.7,0.0001819133758544922
425,50,0.7,0.0001838207244873047
426,50,0.7,0.0001838207244873047
427,50,0.7,0.00018286705017089844
428,50,0.7,0.00018906593322753906
429,50,0.7,0.00018310546875
430,50,0.9,0.00021409988403320312
431,50,0.9,0.00021505355834960938
432,50,0.9,0.0002079010009765625
433,50,0.9,0.00020694732666015625
434,50,0.9,0.00021195411682128906
435,50,0.9,0.00021028518676757812
436,50,0.9,0.0002129077911376953
437,50,0.9,0.0002048015594482422
438,50,0.9,0.00021004676818847656
439,50,0.9,0.00021195411682128906
440,50,0.9,0.0002090930938720703
